a,b,c,
16,325,798,
106,346,612,
173,370,778,
16,264,771,
145,405,621,
250,340,628,
241,362,698,
87,358,655,
90,494,650,
228,461,715,
63,287,685,
217,338,753,
84,443,702,
238,330,673,
101,470,675,
207,417,785,
59,325,753,
41,435,755,
250,290,722,
3,339,716,
239,321,766,
235,295,782,
181,325,741,
3,355,732,
52,325,771,
92,495,675,
31,481,658,
157,327,678,
234,457,724,
179,419,730,
105,282,619,
235,392,794,
47,310,637,
74,392,724,
186,477,629,
232,321,618,
98,389,605,
235,385,654,
86,283,795,
17,395,727,
199,289,661,
20,375,797,
233,444,687,
158,500,698,
206,427,754,
204,360,697,
185,313,701,
29,493,782,
44,345,749,
70,484,658,
14,480,610,
139,425,663,
215,451,686,
99,383,640,
97,289,620,
100,480,785,
210,443,755,
75,454,630,
239,377,729,
197,400,690,
100,386,613,
151,356,730,
34,452,767,
66,329,744,
245,448,743,
4,298,681,
152,472,798,
137,338,773,
179,301,749,
49,263,639,
7,284,794,
195,355,740,
24,357,608,
108,462,746,
45,412,744,
172,434,800,
145,275,616,
28,372,740,
18,309,699,
93,444,710,
156,269,773,
198,400,753,
45,365,732,
244,263,711,
49,315,683,
127,434,769,
123,466,730,
196,489,799,
48,419,665,
241,470,655,
58,314,695,
76,428,660,
224,460,718,
187,282,767,
155,454,749,
50,309,675,
75,308,767,
25,277,626,
43,346,770,
47,290,778,
118,274,668,
51,317,613,
152,283,756,
125,376,775,
138,482,721,
188,311,749,
51,409,772,
118,497,602,
200,314,681,
74,403,644,
150,299,658,
5,279,800,
57,411,764,
42,386,674,
225,387,700,
226,410,661,
0,422,744,
159,349,657,
37,344,616,
141,322,733,
235,417,677,
143,468,607,
62,282,776,
185,289,715,
135,274,691,
208,391,720,
247,302,748,
239,270,797,
37,428,782,
163,472,647,
21,361,690,
158,305,686,
244,432,608,
33,423,793,
172,289,700,
172,445,701,
148,284,707,
88,446,645,
38,408,636,
247,336,700,
181,406,604,
105,445,606,
197,449,629,
192,346,697,
33,367,783,
47,365,673,
131,498,628,
72,284,781,
100,458,672,
88,432,745,
49,397,761,
224,364,630,
47,307,688,
6,357,632,
52,262,670,
239,275,659,
25,301,622,
8,411,746,
179,469,678,
116,261,678,
91,282,745,
68,441,761,
0,269,605,
246,495,718,
75,312,602,
125,363,631,
81,349,703,
107,337,781,
29,281,792,
75,399,783,
203,486,601,
65,264,760,
155,408,750,
1,394,745,
107,294,625,
113,367,716,
138,379,681,
156,461,788,
13,372,617,
14,379,773,
86,442,640,
220,474,642,
153,433,660,
139,414,754,
187,285,732,
22,271,706,
200,427,614,
51,357,734,
146,374,732,
191,395,673,
148,449,781,
181,407,694,
117,427,669,
44,429,761,
106,329,769,
91,378,676,
124,357,606,
33,418,640,
137,455,776,
171,415,621,
27,289,793,
78,317,666,
54,356,644,
191,491,654,
210,421,725,
91,483,741,
137,409,769,
15,329,630,
215,333,781,
246,260,663,
92,450,761,
30,424,635,
99,368,672,
107,381,740,
160,351,720,
140,305,786,
172,486,609,
165,492,785,
155,348,664,
60,376,675,
39,395,793,
172,472,745,
173,478,621,
62,459,613,
50,431,627,
39,492,710,
195,369,629,
167,483,684,
201,285,747,
198,441,777,
84,276,633,
76,332,703,
120,460,667,
243,298,707,
133,419,776,
99,409,659,
78,362,731,
41,425,764,
92,410,606,
139,465,624,
175,419,687,
28,385,736,
215,381,649,
68,277,649,
11,338,609,
36,339,632,
180,481,793,
213,316,630,
105,424,666,
175,359,786,
95,469,709,
183,307,771,
87,299,626,
2,356,730,
29,419,714,
166,425,630,
152,360,798,
201,301,619,
94,434,779,
104,315,772,
86,460,622,
110,312,742,
7,407,643,
130,363,785,
203,346,700,
166,289,724,
72,281,712,
127,266,628,
19,363,653,
246,357,746,
238,300,604,
167,448,640,
228,473,791,
164,420,720,
124,318,782,
217,451,694,
102,399,614,
242,465,746,
182,487,695,
181,311,704,
61,291,697,
96,262,710,
74,356,603,
94,298,781,
156,281,745,
19,456,758,
219,357,668,
153,426,640,
200,432,762,
201,422,629,
150,452,657,
230,268,608,
198,361,698,
114,406,694,
232,350,794,
34,494,729,
239,397,750,
240,377,660,
47,318,638,
247,283,786,
97,340,624,
95,496,695,
182,458,609,
108,466,689,
166,326,724,
218,311,702,
5,325,684,
116,415,627,
82,415,748,
236,421,603,
31,284,684,
96,300,651,
72,281,742,
221,309,673,
101,480,773,
78,473,784,
102,454,607,
250,467,778,
6,394,642,
229,408,704,
180,415,762,
123,475,741,
217,328,768,
133,368,606,
71,351,623,
195,293,672,
144,347,608,
51,429,645,
248,304,687,
55,358,788,
138,325,693,
34,453,668,
183,465,722,
169,431,778,
115,313,647,
12,281,704,
2,328,740,
132,395,633,
77,298,761,
209,403,744,
200,320,645,
154,443,791,
28,352,695,
182,462,624,
246,441,674,
187,342,645,
32,478,637,
18,482,645,
224,454,704,
48,378,748,
183,360,660,
142,494,795,
51,344,695,
238,309,735,
21,428,634,
245,462,790,
37,287,629,
125,498,642,
82,483,792,
80,440,603,
114,400,778,
247,447,771,
58,318,691,
56,488,636,
26,269,656,
39,304,696,
218,320,627,
22,313,688,
196,459,758,
246,359,751,
91,398,796,
114,411,703,
53,436,619,
109,454,787,
91,392,764,
27,336,653,
57,284,626,
249,306,600,
152,484,705,
234,322,771,
113,445,793,
163,411,676,
184,439,703,
14,262,665,
105,425,788,
133,328,708,
94,371,792,
156,452,798,
71,433,601,
243,262,677,
242,308,742,
29,292,725,
195,339,767,
240,328,729,
137,396,611,
78,441,748,
150,444,726,
232,260,776,
96,307,653,
194,367,613,
131,473,676,
217,350,637,
214,344,721,
190,343,775,
110,428,720,
156,389,637,
173,268,761,
158,417,737,
